"","POINTID","CROP_SETTING","index"
"1","AMT01C101","FOREST",1519.20617589648
"2","AMT01C103","FOREST",1403.69593228216
"3","AMT01C201","INTERCROP",1429.78684526479
"4","AMT01C203","INTERCROP",1388.44224584251
"5","AMT01C302","INTERCROP",1388.67348387356
"6","AMT02C102","FOREST",1412.49616198105
"7","AMT02C201","INTERCROP",1382.21728545799
"8","AMT02C203","INTERCROP",1384.19689585866
"9","AMT02C301","INTERCROP",1342.25160980452
"10","AMT02C303","INTERCROP",1423.69963428756
"11","AMT03C101","FOREST",1473.48162913957
"12","AMT03C103","FOREST",1455.57042311742
"13","AMT03C202","INTERCROP",1373.85099115578
"14","AMT03C301","INTERCROP",1380.66241987956
"15","AMT03C303","INTERCROP",1374.79144906616
"16","BIT01C102","FOREST",1445.66205929748
"17","BIT01C201","INTERCROP",1382.86088087119
"18","BIT01C203","INTERCROP",1371.46987066225
"19","BIT01C301","INTERCROP",1378.9219032808
"20","BIT01C303","INTERCROP",1394.40172151197
"21","BIT02C101","FOREST",1399.49812680613
"22","BIT02C103","FOREST",1467.55658982519
"23","BIT02C202","MONO",1381.8454599341
"24","BIT02C301","MONO",1382.84419998415
"25","BIT02C303","MONO",1386.96956022308
"26","BIT03C101","FOREST",1455.00327806554
"27","BIT03C103","FOREST",1443.33895562556
"28","BIT03C201","INTERCROP",1388.25152658679
"29","BIT03C203","INTERCROP",1375.71411149488
"30","BIT03C302","INTERCROP",1388.78645740463
"31","LOT01C101","FOREST",1376.62561532157
"32","LOT01C103","FOREST",1374.03439090633
"33","LOT01C202","INTERCROP",1339.44460662709
"34","LOT01C302","MONO",1389.11781434809
"35","LOT02C101","FOREST",1353.17852915071
"36","LOT02C103","FOREST",1355.19500514392
"37","LOT02C202","INTERCROP",1370.1012583764
"38","LOT02C302","INTERCROP",1388.62569588378
"39","LOT03C101","FOREST",1372.5343720463
"40","LOT03C202","INTERCROP",1335.12857900261
"41","LOT03C302","INTERCROP",1376.96424496962
"42","TAT01C101","FOREST",1391.86301198407
"43","TAT01C103","FOREST",1399.15454743786
"44","TAT01C201","MONO",1380.91829823545
"45","TAT01C203","MONO",1388.68430734244
"46","TAT01C302","MONO",1455.31408097925
"47","TAT02C101","FOREST",1380.85349859703
"48","TAT02C103","FOREST",1369.78696004649
"49","TAT02C202","MONO",1391.92785666781
"50","TAT02C301","MONO",1394.22738531746
"51","TAT02C303","MONO",1363.38967417112
"52","TAT03C102","FOREST",1399.34404745751
"53","TAT03C201","MONO",1452.94320774824
"54","TAT03C203","MONO",1450.12990303273
"55","TAT03C301","MONO",1396.13284152132
"56","TAT03C303","MONO",1383.26021855166
